dst,cid,dci,next,pattern,Label
82,82,29,53,82,0
95,95,37,58,95,0
77,77,13,64,77,0
56,56,56,0,56,0
79,79,21,58,79,0
93,93,15,78,93,0
84,84,0,84,84,0
18,18,4,14,18,0
39,39,2,39,39,0
42,42,8,42,42,0
36,36,1,36,36,0
59,59,0,59,59,0
73,73,0,73,73,0
61,61,0,61,61,0
54,54,0,54,54,0
70,70,0,70,70,0
71,71,0,71,71,0
88,88,0,88,88,0
88,88,0,88,88,0
70,70,0,70,70,0
68,68,19,57,68,0
126,126,11,125,126,1
79,79,13,70,79,0
45,45,1,45,45,0
110,110,3,110,110,1
62,62,4,62,62,0
58,58,2,56,58,0
115,115,25,90,115,1
59,59,4,59,59,0
81,81,0,81,81,0
64,64,8,60,64,0
31,31,0,31,31,0
65,65,0,65,65,0
42,42,0,42,42,0
47,47,0,47,47,0
58,58,0,58,58,0
54,54,0,54,54,0
16,16,0,16,16,0
76,76,2,74,76,0
68,68,6,66,68,0
48,48,10,48,48,0
50,50,1,50,50,0
33,33,0,33,33,0
70,70,0,70,70,0
63,63,0,63,63,0
46,46,6,43,46,0
28,28,1,28,28,0
51,51,0,51,51,0
49,49,0,49,49,0
34,34,0,34,34,0
48,48,0,48,48,0
58,58,0,58,58,0
30,30,0,30,30,0
47,47,0,47,47,0
33,33,0,33,33,0
25,25,5,21,25,0
28,28,0,28,28,0
35,35,0,35,35,0
17,17,1,16,17,0
11,11,8,7,11,0
39,39,0,39,39,0
37,37,0,37,37,0
42,42,14,38,42,0
1,1,1,1,1,0
29,29,0,29,29,0
5,5,5,1,5,0
36,36,7,32,36,0
41,41,8,41,41,0
0,0,0,0,0,0
17,17,0,17,17,0
11,11,1,10,11,0
37,37,0,37,37,0
11,11,7,7,11,0
42,42,5,39,42,0
23,23,4,23,23,0
27,27,0,27,27,0
3,3,3,3,3,0
12,12,12,8,12,0
31,31,2,29,31,0
34,34,2,32,34,0
19,19,7,19,19,0
12,12,0,12,12,0
64,64,0,64,64,0
3,3,0,3,3,0
18,18,0,18,18,0
11,11,0,11,11,0
18,18,4,15,18,0
6,6,0,6,6,0
1,1,1,0,1,0
0,0,0,0,0,0
0,0,0,0,0,0
1,1,1,1,1,0
10,10,10,6,10,0
10,10,10,10,10,0
9,9,9,5,9,0
20,20,15,16,20,0
45,45,0,45,45,0
37,37,0,37,37,0
0,0,0,0,0,0
33,33,0,33,33,0
12,12,8,8,12,0
16,16,0,16,16,0
0,0,0,0,0,0
9,9,9,5,9,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
3,3,3,1,3,0
18,18,18,9,18,0
10,10,10,10,10,0
0,0,0,0,0,0
0,0,0,0,0,0
1,1,1,0,1,0
7,7,7,4,7,0
1,1,0,1,1,0
